project,footrule_similarity
tika,0.7859626249456758
struts,0.7681442850934377
activemq,0.7459800086918731
logging-log4j2,0.7444589308996088
nutch,0.7376502969723309
groovy,0.7202665507750253
ambari,0.707735767057801
calcite,0.7073736056786903
cassandra,0.7041141532666957
mahout,0.7029552368535419
maven,0.6891206721715196
storm,0.6806460959003332
hbase,0.6776763725916268
zookeeper,0.6590612777053455
nifi,0.6248732435173113
bookkeeper,0.6022743734608141
hive,0.5685209329277126
