version,ifa_self,recall@20_self,effort@20%R_self,hit@10_self,pmi@20_self,ifa_others,recall@20_others,effort@20%R_others,hit@10_others,pmi@20_others
zookeeper-3.5.3,1734.0,0.13636363636363635,0.22617910316142212,0.0,0.09264305177111716,1736.0,0.40082644628099173,0.07366363409221181,0.0,0.28610354223433243
AVG,1734.0,0.13636363636363635,0.22617910316142212,0.0,0.09264305177111716,1736.0,0.40082644628099173,0.07366363409221181,0.0,0.28610354223433243
