Name,IFA,R@15,R@20,R@25,R@30,Effort@15,Effort@20,Effort@25,Effort@30,PMI@15,PMI@20,PMI@25,PMI@30,Hit@5,Hit@10,Hit@15,Hit@20
AdaBoost,99.83790588235294,0.3199823529411765,0.39544705882352943,0.4493764705882353,0.49382941176470585,0.07101764705882353,0.09670588235294117,0.13055882352941175,0.15815882352941177,0.4099235294117647,0.4430823529411765,0.47664117647058823,0.5125352941176471,0.37801764705882357,0.42325882352941174,0.5027352941176471,0.5589000000000001
Bagging,122.56032352941175,0.3402823529411765,0.4012294117647059,0.4492588235294117,0.4906058823529411,0.06374117647058823,0.09081764705882353,0.124,0.15241176470588236,0.4047705882352941,0.45597647058823526,0.48980000000000007,0.5284294117647059,0.30995294117647054,0.44732941176470586,0.49859411764705885,0.5509470588235293
BalancedBagging,136.26015294117647,0.31026470588235294,0.37522352941176473,0.4315705882352941,0.48216470588235294,0.07485294117647058,0.10667058823529413,0.1422470588235294,0.17499411764705883,0.3867470588235294,0.4166941176470588,0.4561235294117647,0.4834176470588235,0.3144,0.45843529411764705,0.534270588235294,0.5749058823529412
BalancedRandomForest,96.49445294117648,0.33447647058823526,0.3995470588235294,0.45743529411764705,0.5059176470588236,0.06608235294117647,0.08524117647058824,0.12901176470588235,0.1568470588235294,0.4126705882352941,0.44077647058823527,0.4762882352941176,0.5080117647058824,0.3612705882352941,0.4853823529411765,0.5428941176470589,0.5585764705882352
BernoulliNB,105.41323529411765,0.33020000000000005,0.38414117647058826,0.4467058823529412,0.4924588235294118,0.06481176470588235,0.09824705882352942,0.13018823529411766,0.15817058823529412,0.3618647058823529,0.4012941176470588,0.43096470588235297,0.48539999999999994,0.3566764705882353,0.4934705882352941,0.567,0.5915058823529412
ExtraTrees,153.9341,0.3291529411764706,0.39527647058823534,0.45582352941176474,0.4931,0.06665294117647058,0.09530588235294118,0.1325705882352941,0.15711764705882353,0.40595882352941176,0.44571764705882355,0.4786058823529412,0.506264705882353,0.3376,0.42519999999999997,0.4664941176470588,0.49361764705882355
GradientBoost,101.08905294117646,0.31411176470588237,0.37729999999999997,0.4364882352941177,0.47737647058823524,0.07434705882352942,0.10162941176470588,0.1394529411764706,0.17626470588235296,0.4238176470588235,0.45635882352941176,0.5019823529411764,0.5348823529411765,0.34111176470588234,0.4688705882352941,0.4956176470588235,0.5205705882352941
LightGBM,94.07484705882354,0.33851764705882353,0.39848235294117645,0.4640588235294118,0.5049882352941176,0.06693529411764705,0.10048823529411764,0.12451764705882352,0.1532941176470588,0.38403529411764703,0.42055882352941176,0.44796470588235293,0.4772705882352941,0.3326882352941177,0.43157058823529415,0.5345176470588235,0.6032882352941177
LogisticRegression,128.7907411764706,0.32118823529411766,0.3817235294117647,0.43432352941176466,0.4800235294117647,0.06398235294117646,0.10383529411764707,0.13169411764705882,0.16512352941176472,0.3983058823529412,0.43619411764705884,0.46413529411764703,0.49968235294117647,0.3838176470588235,0.5423941176470589,0.5681647058823529,0.5740470588235295
Pearson,41.51931764705882,0.34763529411764704,0.40754705882352943,0.46901176470588235,0.5188058823529411,0.058488235294117646,0.08333529411764706,0.11587647058823529,0.15133529411764707,0.3804176470588235,0.39841764705882354,0.4143705882352941,0.4360588235294118,0.5796117647058824,0.6223294117647058,0.7301705882352941,0.7301705882352941
RandomForest,129.09126470588237,0.32379411764705884,0.38871176470588237,0.43834117647058823,0.4812,0.07527647058823529,0.10150588235294118,0.13497058823529412,0.1603764705882353,0.3815705882352941,0.42168235294117645,0.4515764705882353,0.4909941176470588,0.2640176470588235,0.36297647058823523,0.39044117647058824,0.4639647058823529
XGBoost,155.08395882352943,0.33258823529411763,0.38852941176470585,0.44731764705882354,0.4932764705882353,0.0738235294117647,0.09911764705882353,0.13551764705882352,0.16304117647058824,0.42512941176470587,0.4516117647058823,0.49047647058823535,0.5305647058823529,0.2167294117647059,0.3669235294117647,0.5217941176470589,0.5573705882352941
