Method,final_rank,rp_score
AdaBoost,16,9.984403262249385
Bagging,5,5.753627969394904
Balanced Bagging,2,3.8007440298674693
Balanced Random Forest,13,9.49872614813999
Naive Bayes,9,7.9175012298519105
Extra Trees,3,4.743924634818303
Gradient Boosting,6,6.079223994978318
LightGBM,8,7.737684538292115
Logistic Regression,11,8.650210809398835
Pearson,1,2.3730481135661825
Random Forest,4,5.567201935844966
XGBoost,7,6.690512860745936
deepseek-chat-Rank,12,9.479588490262744
deepseek-chat-Score,14,9.616898346467764
deepseek-reasoner-Rank,10,8.022507824163815
deepseek-reasoner-Score,15,9.981133365231136
