Method,final_rank,rp_score
AdaBoost,13,9.227682595836493
Bagging,8,7.8246964482856605
Balanced Bagging,2,4.014749431282376
Balanced Random Forest,3,5.803875805081536
Naive Bayes,9,7.884857070216275
Extra Trees,6,6.515904387962137
Gradient Boosting,4,6.0962021913009545
LightGBM,10,8.265267692809227
Logistic Regression,14,9.3077953837341
Pearson,1,1.6681849209315112
Random Forest,7,6.675135030178675
XGBoost,5,6.206403309276659
deepseek-chat-Rank,11,8.332928085204669
deepseek-chat-Score,12,9.075210208044426
deepseek-reasoner-Rank,16,10.147538386948712
deepseek-reasoner-Score,15,9.731773197433698
