Method,IFA,R@15%,R@20%,R@25%,R@30%,E@15%R,E@20%R,E@25%R,E@30%R,PMI@15%,PMI@20%,PMI@25%,PMI@30%,Accuracy@5,Accuracy@10,Accuracy@15,Accuracy@20
AdaBoost,61.27501176470589,0.3494882352941176,0.4125647058823529,0.4657941176470588,0.5083647058823528,0.0590588235294117,0.0834823529411764,0.1170882352941176,0.1465941176470588,0.4197294117647058,0.4601294117647058,0.502164705882353,0.5418705882352941,0.5907823529411765,0.6319588235294118,0.6721529411764706,0.6881117647058824
Bagging,60.13054117647059,0.3648,0.4299470588235294,0.4881823529411764,0.5359235294117647,0.0615941176470588,0.0837647058823529,0.1170588235294117,0.1459294117647058,0.4398235294117647,0.4688705882352941,0.5311941176470588,0.5732941176470588,0.5945,0.6366588235294117,0.6366588235294117,0.7441235294117647
Balanced Bagging,51.04982352941176,0.3686294117647058,0.4347235294117647,0.4909764705882353,0.5323,0.0506529411764705,0.0721470588235294,0.1079705882352941,0.1389941176470588,0.4367941176470588,0.4866941176470588,0.5231470588235294,0.5610058823529412,0.5783058823529411,0.6681823529411764,0.7181823529411764,0.7181823529411764
Balanced Random Forest,63.37923529411764,0.3589941176470588,0.4194411764705882,0.4741117647058823,0.5192764705882353,0.0500058823529411,0.0678529411764705,0.1056764705882352,0.1390764705882353,0.4609176470588235,0.5086705882352941,0.5396705882352941,0.5709764705882353,0.7019588235294117,0.7568647058823529,0.7862764705882352,0.8117705882352941
Naive Bayes,50.8802705882353,0.3510823529411764,0.4221176470588235,0.4844176470588235,0.5251294117647058,0.0546294117647058,0.0847470588235294,0.1135588235294117,0.143635294117647,0.3684,0.4221294117647058,0.4633588235294117,0.5308764705882353,0.6342470588235294,0.7038588235294118,0.754835294117647,0.7842470588235294
Extra Trees,86.88435294117647,0.3682235294117647,0.4277529411764705,0.4813352941176471,0.5288058823529411,0.0614588235294117,0.0856588235294117,0.1096529411764705,0.1396176470588235,0.4011235294117647,0.4457,0.5001470588235294,0.5448588235294117,0.5249764705882353,0.6636588235294117,0.7028764705882353,0.7662235294117647
Gradient Boosting,72.75661764705882,0.3517058823529412,0.4192294117647059,0.4731411764705882,0.5144176470588235,0.0580117647058823,0.0865764705882353,0.1184941176470588,0.1475823529411764,0.4263529411764706,0.4682058823529412,0.5034000000000001,0.5403529411764706,0.6079470588235294,0.6138294117647058,0.6579470588235294,0.7327294117647059
LightGBM,26.29395294117647,0.3612058823529412,0.4294176470588235,0.4796235294117648,0.5239705882352942,0.0624117647058823,0.0910941176470588,0.1195411764705882,0.1454176470588235,0.3918294117647058,0.4355411764705882,0.4760882352941177,0.5202176470588236,0.6384941176470589,0.7581058823529412,0.8048411764705882,0.809364705882353
Logistic Regression,64.7213705882353,0.3491411764705882,0.4148411764705882,0.4645823529411764,0.5057176470588235,0.0573235294117647,0.0794588235294117,0.1156117647058823,0.1524411764705882,0.4320705882352941,0.4756529411764706,0.5151882352941177,0.5495235294117647,0.5437000000000001,0.5539529411764705,0.6624,0.7424647058823529
Pearson,41.69846470588236,0.3713705882352941,0.4336058823529412,0.4913411764705882,0.5393176470588236,0.0482,0.0697823529411764,0.0997176470588235,0.1313058823529412,0.4465882352941176,0.4895,0.5056647058823529,0.524864705882353,0.6552823529411764,0.7141058823529411,0.7513588235294117,0.8049058823529412
Random Forest,111.3879176470588,0.3634882352941176,0.4264058823529412,0.4786882352941177,0.526364705882353,0.0530999999999999,0.0856117647058823,0.1097470588235294,0.1404941176470588,0.3939705882352941,0.4384235294117647,0.4857352941176471,0.5392529411764705,0.5665941176470588,0.6260235294117648,0.6760235294117647,0.7156882352941176
XGBoost,78.79781764705882,0.3649588235294118,0.4232882352941176,0.4812705882352941,0.5277705882352942,0.0566705882352941,0.0782294117647058,0.1068058823529411,0.1397411764705882,0.4382764705882352,0.4807882352941177,0.5240058823529411,0.5693411764705881,0.6028764705882353,0.6691647058823529,0.7279882352941176,0.7387705882352942
deepseek-chat-Rank,225.85517647058825,0.1864411764705882,0.2321411764705882,0.2994411764705882,0.3423764705882353,0.1536235294117647,0.1955411764705882,0.2511176470588235,0.2968823529411764,0.2245705882352941,0.2640176470588235,0.3092117647058823,0.3550999999999999,0.3101176470588235,0.3739176470588235,0.3977705882352941,0.4121
deepseek-chat-Score,602.4962588235294,0.1830882352941176,0.2290470588235294,0.2962,0.3391764705882353,0.1563941176470588,0.2003764705882353,0.2542235294117647,0.2982588235294118,0.2382470588235294,0.2768117647058823,0.3211117647058823,0.3661176470588235,0.4032529411764706,0.4841529411764705,0.4895,0.5194235294117647
deepseek-reasoner-Rank,225.85517647058825,0.1864411764705882,0.2321411764705882,0.2994411764705882,0.3423764705882353,0.1536235294117647,0.1955411764705882,0.2511176470588235,0.2968823529411764,0.2245705882352941,0.2640176470588235,0.3092117647058823,0.3550999999999999,0.3101176470588235,0.3739176470588235,0.3977705882352941,0.4121
deepseek-reasoner-Score,1594.4122705882353,0.1774411764705882,0.2272117647058823,0.2893764705882353,0.3326235294117647,0.1611117647058823,0.2035882352941176,0.2597294117647059,0.2995882352941176,0.1616058823529411,0.2057176470588235,0.2528823529411765,0.3060235294117647,0.1885647058823529,0.3539411764705882,0.3994823529411764,0.404835294117647
