Name,IFA,R@15,R@20,R@25,R@30,Effort@15,Effort@20,Effort@25,Effort@30,PMI@15,PMI@20,PMI@25,PMI@30,Hit@5,Hit@10,Hit@15,Hit@20
AdaBoost,61.27501176470589,0.34948823529411766,0.41256470588235294,0.4657941176470588,0.5083647058823528,0.05905882352941177,0.08348235294117647,0.11708823529411765,0.14659411764705882,0.41972941176470585,0.46012941176470584,0.502164705882353,0.5418705882352941,0.5907823529411765,0.6319588235294118,0.6721529411764706,0.6881117647058824
Bagging,60.13054117647059,0.3648,0.4299470588235294,0.4881823529411764,0.5359235294117647,0.06159411764705882,0.08376470588235294,0.11705882352941177,0.14592941176470586,0.4398235294117647,0.4688705882352941,0.5311941176470588,0.5732941176470588,0.5945,0.6366588235294117,0.6366588235294117,0.7441235294117647
BalancedBagging,51.04982352941176,0.36862941176470587,0.4347235294117647,0.49097647058823535,0.5323,0.05065294117647059,0.07214705882352941,0.10797058823529411,0.13899411764705882,0.43679411764705883,0.4866941176470588,0.5231470588235294,0.5610058823529412,0.5783058823529411,0.6681823529411764,0.7181823529411764,0.7181823529411764
BalancedRandomForest,63.37923529411764,0.3589941176470588,0.4194411764705882,0.4741117647058823,0.5192764705882353,0.05000588235294118,0.06785294117647059,0.10567647058823529,0.1390764705882353,0.46091764705882354,0.5086705882352941,0.5396705882352941,0.5709764705882353,0.7019588235294117,0.7568647058823529,0.7862764705882352,0.8117705882352941
BernoulliNB,50.8802705882353,0.35108235294117646,0.42211764705882354,0.4844176470588235,0.5251294117647058,0.05462941176470588,0.0847470588235294,0.11355882352941177,0.14363529411764708,0.3684,0.42212941176470586,0.46335882352941177,0.5308764705882353,0.6342470588235294,0.7038588235294118,0.754835294117647,0.7842470588235294
ExtraTrees,86.88435294117647,0.3682235294117647,0.42775294117647056,0.4813352941176471,0.5288058823529411,0.06145882352941176,0.08565882352941176,0.10965294117647059,0.1396176470588235,0.4011235294117647,0.4457,0.5001470588235294,0.5448588235294117,0.5249764705882353,0.6636588235294117,0.7028764705882353,0.7662235294117647
GradientBoost,72.75661764705882,0.3517058823529412,0.4192294117647059,0.47314117647058823,0.5144176470588235,0.05801176470588235,0.0865764705882353,0.11849411764705883,0.14758235294117647,0.4263529411764706,0.4682058823529412,0.5034000000000001,0.5403529411764706,0.6079470588235294,0.6138294117647058,0.6579470588235294,0.7327294117647059
LightGBM,26.29395294117647,0.3612058823529412,0.4294176470588235,0.4796235294117648,0.5239705882352942,0.06241176470588235,0.09109411764705883,0.11954117647058823,0.14541764705882354,0.39182941176470587,0.43554117647058826,0.4760882352941177,0.5202176470588236,0.6384941176470589,0.7581058823529412,0.8048411764705882,0.809364705882353
LogisticRegression,64.7213705882353,0.34914117647058823,0.4148411764705882,0.46458235294117645,0.5057176470588235,0.05732352941176471,0.07945882352941176,0.11561176470588236,0.15244117647058822,0.43207058823529415,0.4756529411764706,0.5151882352941177,0.5495235294117647,0.5437000000000001,0.5539529411764705,0.6624,0.7424647058823529
Pearson,41.69846470588236,0.3713705882352941,0.4336058823529412,0.4913411764705882,0.5393176470588236,0.0482,0.06978235294117646,0.09971764705882354,0.1313058823529412,0.4465882352941176,0.48950000000000005,0.5056647058823529,0.524864705882353,0.6552823529411764,0.7141058823529411,0.7513588235294117,0.8049058823529412
RandomForest,111.38791764705881,0.3634882352941176,0.4264058823529412,0.4786882352941177,0.526364705882353,0.053099999999999994,0.08561176470588236,0.1097470588235294,0.14049411764705882,0.39397058823529413,0.4384235294117647,0.4857352941176471,0.5392529411764705,0.5665941176470588,0.6260235294117648,0.6760235294117647,0.7156882352941176
XGBoost,78.79781764705882,0.3649588235294118,0.42328823529411763,0.4812705882352941,0.5277705882352942,0.05667058823529412,0.07822941176470588,0.10680588235294118,0.13974117647058823,0.43827647058823527,0.4807882352941177,0.5240058823529411,0.5693411764705881,0.6028764705882353,0.6691647058823529,0.7279882352941176,0.7387705882352942
deepseek-chat-rank,225.85517647058825,0.18644117647058825,0.23214117647058824,0.2994411764705882,0.3423764705882353,0.15362352941176471,0.19554117647058822,0.25111764705882356,0.29688235294117643,0.2245705882352941,0.2640176470588235,0.30921176470588235,0.35509999999999997,0.31011764705882355,0.3739176470588235,0.39777058823529415,0.4121
deepseek-chat-score,602.4962588235294,0.18308823529411763,0.2290470588235294,0.2962,0.3391764705882353,0.15639411764705882,0.2003764705882353,0.2542235294117647,0.2982588235294118,0.23824705882352942,0.27681176470588237,0.3211117647058823,0.36611764705882355,0.4032529411764706,0.4841529411764705,0.48950000000000005,0.5194235294117647
deepseek-reasoner-rank,225.85517647058825,0.18644117647058825,0.23214117647058824,0.2994411764705882,0.3423764705882353,0.15362352941176471,0.19554117647058822,0.25111764705882356,0.29688235294117643,0.2245705882352941,0.2640176470588235,0.30921176470588235,0.35509999999999997,0.31011764705882355,0.3739176470588235,0.39777058823529415,0.4121
deepseek-reasoner-score,1594.4122705882353,0.17744117647058824,0.22721176470588236,0.2893764705882353,0.3326235294117647,0.16111176470588237,0.20358823529411763,0.2597294117647059,0.29958823529411766,0.16160588235294118,0.20571764705882353,0.2528823529411765,0.3060235294117647,0.18856470588235294,0.35394117647058826,0.39948235294117646,0.40483529411764707
原始顺序,4102.55474117647,0.14071764705882353,0.18890588235294117,0.23417058823529413,0.2756470588235294,0.24880588235294118,0.2806235294117647,0.31988823529411764,0.3599117647058824,0.17495882352941175,0.22523529411764706,0.27328823529411767,0.3154529411764706,0.0,0.0,0.0,0.07647058823529412
