Method,IFA,R@15%,R@20%,R@25%,R@30%,E@15%R,E@20%R,E@25%R,E@30%R,PMI@15%,PMI@20%,PMI@25%,PMI@30%,Accuracy@5,Accuracy@10,Accuracy@15,Accuracy@20
AdaBoost,202.6321294117647,0.3301,0.3924411764705882,0.4524176470588235,0.4864470588235294,0.0674705882352941,0.0956411764705882,0.1316,0.1635411764705882,0.3332823529411765,0.3750352941176471,0.4132705882352941,0.4482,0.286735294117647,0.3158176470588235,0.3569941176470588,0.3717
Bagging,472.4782235294118,0.3369529411764706,0.4070117647058823,0.4661588235294118,0.519264705882353,0.0665235294117647,0.0911941176470588,0.1255235294117647,0.1526588235294117,0.3393470588235294,0.3748117647058824,0.4322411764705882,0.4681882352941176,0.3583588235294118,0.4278588235294118,0.4470882352941177,0.4927941176470587
Balanced Bagging,255.0483176470588,0.3502588235294117,0.4158117647058824,0.4690470588235294,0.5128941176470588,0.0613117647058823,0.0833705882352941,0.1240117647058823,0.1496294117647058,0.3479294117647059,0.3930352941176471,0.4194,0.4471823529411765,0.3370470588235294,0.3785705882352941,0.4148470588235294,0.4413176470588235
Balanced Random Forest,745.4935588235294,0.3280764705882353,0.3902588235294117,0.4448,0.4929058823529412,0.0677470588235294,0.0876117647058823,0.1308588235294117,0.1620117647058823,0.3726647058823529,0.4038647058823529,0.4334058823529412,0.4639823529411765,0.3110647058823529,0.3883647058823529,0.4330823529411765,0.4732823529411765
Naive Bayes,198.8486588235294,0.3134588235294118,0.3830294117647059,0.4381058823529412,0.478,0.0688882352941176,0.0945764705882353,0.1363941176470588,0.1811941176470588,0.3019941176470588,0.3375823529411765,0.3726882352941176,0.4226588235294117,0.2961411764705882,0.3615176470588235,0.4588529411764706,0.5127764705882353
Extra Trees,319.4834823529412,0.340235294117647,0.3981058823529412,0.4587470588235294,0.5085117647058823,0.0631058823529411,0.0917529411764705,0.1248941176470588,0.151435294117647,0.301535294117647,0.3407941176470588,0.3791705882352941,0.416,0.3569941176470588,0.4166529411764705,0.4656764705882353,0.5068529411764706
Gradient Boosting,168.9275823529412,0.3412176470588235,0.4055823529411764,0.4593411764705882,0.496264705882353,0.0675470588235294,0.0915470588235294,0.1286235294117647,0.1548235294117647,0.3425058823529411,0.3777941176470588,0.4190411764705882,0.4590470588235294,0.4009941176470588,0.4285647058823529,0.4334647058823529,0.4383705882352941
LightGBM,203.5778588235294,0.3401352941176471,0.4003647058823529,0.4549764705882353,0.4999470588235294,0.0691823529411764,0.0949941176470588,0.1261588235294117,0.1549176470588235,0.3053823529411765,0.3412529411764706,0.3707764705882353,0.4075647058823529,0.2953294117647059,0.3456058823529412,0.4044294117647058,0.459935294117647
Logistic Regression,201.0734176470588,0.3241588235294118,0.3909411764705882,0.4435117647058823,0.4805176470588235,0.0663058823529411,0.0994823529411764,0.1407941176470588,0.168835294117647,0.3186647058823529,0.3622999999999999,0.3971941176470588,0.4406823529411764,0.2909176470588235,0.3853235294117647,0.4451294117647059,0.4941529411764706
Pearson,34.92458235294117,0.3400823529411764,0.4090294117647058,0.4595058823529412,0.5093058823529413,0.0634117647058823,0.0874411764705882,0.1209705882352941,0.1523705882352941,0.2673823529411764,0.3005470588235294,0.3330823529411764,0.3708941176470588,0.5957411764705882,0.6355588235294118,0.6649705882352942,0.7051647058823529
Random Forest,405.4091529411765,0.3394705882352941,0.4009176470588235,0.4541176470588235,0.4991823529411765,0.0644647058823529,0.0942941176470588,0.1232647058823529,0.1516117647058823,0.2961705882352941,0.3359823529411765,0.3703058823529412,0.4140941176470588,0.3355764705882353,0.3899529411764706,0.4631,0.4735117647058823
XGBoost,395.0692529411765,0.3350235294117647,0.4085235294117647,0.4688176470588235,0.5124000000000001,0.0653588235294117,0.0890235294117647,0.121735294117647,0.1526411764705882,0.3419,0.3827647058823529,0.4292294117647058,0.4605764705882352,0.2650529411764706,0.2986764705882352,0.4163235294117647,0.4584823529411764
deepseek-chat-Rank,2593.2596411764707,0.1768941176470588,0.2262764705882353,0.2889470588235294,0.3323529411764706,0.1612882352941176,0.2041058823529411,0.2612882352941176,0.2999117647058823,0.1521941176470588,0.1966882352941176,0.244135294117647,0.2980529411764706,0.0234764705882352,0.0279999999999999,0.0279999999999999,0.0392294117647058
deepseek-chat-Score,2467.523170588236,0.1771882352941176,0.2268764705882353,0.289235294117647,0.3325058823529411,0.1610941176470588,0.2036294117647059,0.259935294117647,0.2997176470588235,0.1580705882352941,0.2021588235294117,0.249335294117647,0.3027647058823529,0.1325058823529412,0.1945647058823529,0.2397294117647058,0.2545117647058823
deepseek-reasoner-Rank,2597.9982,0.1769,0.2262823529411764,0.2889411764705882,0.3323470588235294,0.1612764705882352,0.2041058823529411,0.2612764705882353,0.2999117647058823,0.1521647058823529,0.1966588235294117,0.2441058823529411,0.2980176470588235,0.0234764705882352,0.0279999999999999,0.0279999999999999,0.0392294117647058
deepseek-reasoner-Score,2446.021317647059,0.1772705882352941,0.2269117647058823,0.2891764705882353,0.3324882352941176,0.1612117647058823,0.2036176470588235,0.2599176470588235,0.2996764705882353,0.1595941176470588,0.2037058823529411,0.2509823529411765,0.3043941176470588,0.1385941176470588,0.2440176470588235,0.2605941176470588,0.2659470588235293
