Method,IFA,R@15%,R@20%,R@25%,R@30%,E@15%R,E@20%R,E@25%R,E@30%R,PMI@15%,PMI@20%,PMI@25%,PMI@30%,Accuracy@5,Accuracy@10,Accuracy@15,Accuracy@20
AdaBoost,124.67465294117648,0.3376529411764706,0.4022411764705882,0.4614941176470588,0.4986,0.0615999999999999,0.0877529411764705,0.1221823529411764,0.1526823529411765,0.3918882352941176,0.4283588235294117,0.4714117647058823,0.5078647058823529,0.4829764705882353,0.5918588235294118,0.6229117647058823,0.6437764705882353
Bagging,147.43501764705883,0.3584176470588235,0.4202588235294118,0.4804764705882353,0.5266647058823529,0.0633823529411764,0.0868411764705882,0.1195588235294117,0.1461647058823529,0.4022882352941176,0.4290235294117647,0.5028764705882353,0.5391294117647059,0.4798176470588235,0.5414882352941176,0.5414882352941176,0.5709
Balanced Bagging,70.84825294117647,0.3634941176470588,0.4246470588235294,0.4795764705882352,0.5222411764705882,0.0519470588235294,0.0797235294117647,0.1115764705882352,0.1437,0.4037235294117647,0.4560529411764706,0.4935705882352941,0.5351882352941176,0.5261764705882354,0.6489529411764705,0.7322882352941177,0.7430764705882353
Balanced Random Forest,83.16478823529413,0.3510235294117647,0.4159058823529412,0.4699764705882353,0.5114705882352941,0.0597705882352941,0.0752941176470588,0.1089588235294117,0.1400941176470588,0.4253176470588235,0.4716705882352941,0.5106647058823529,0.5445294117647058,0.4835470588235294,0.627664705882353,0.6995588235294118,0.7544588235294117
Naive Bayes,127.43886470588237,0.3427117647058824,0.4158058823529411,0.4681235294117647,0.5088235294117647,0.0612823529411764,0.0895941176470588,0.1186529411764706,0.1508705882352941,0.3429411764705882,0.3769529411764706,0.4123411764705882,0.4616294117647059,0.4820058823529412,0.5388705882352941,0.5780941176470589,0.6528764705882353
Extra Trees,122.50981764705884,0.3583,0.4230294117647059,0.4759823529411764,0.5254,0.0592764705882353,0.0843117647058823,0.1133941176470588,0.1444705882352941,0.3583647058823529,0.4057941176470588,0.4552764705882353,0.4975529411764705,0.4615294117647059,0.5044529411764705,0.5652411764705882,0.6289705882352942
Gradient Boosting,74.6175705882353,0.3520176470588235,0.418,0.4713470588235294,0.5091470588235294,0.0628294117647058,0.0869294117647058,0.1213588235294117,0.1478058823529411,0.3932882352941176,0.4287058823529412,0.4626941176470588,0.5043647058823529,0.5428411764705883,0.7116941176470588,0.7166,0.7518941176470588
LightGBM,184.6103176470588,0.3448529411764706,0.4113588235294118,0.4662941176470588,0.5116882352941177,0.0616294117647058,0.090535294117647,0.122935294117647,0.1513470588235294,0.3510117647058823,0.3861235294117647,0.4404235294117647,0.4835764705882353,0.4900588235294117,0.5503117647058824,0.6003117647058823,0.6052117647058823
Logistic Regression,117.9462,0.3407705882352941,0.4076235294117647,0.4653176470588235,0.4974176470588234,0.0608117647058823,0.0813470588235294,0.120335294117647,0.1588999999999999,0.3938764705882353,0.4335588235294118,0.4742764705882352,0.5088294117647059,0.4679647058823529,0.5287411764705883,0.5777588235294118,0.6973647058823529
Pearson,60.832270588235296,0.3634529411764706,0.4258117647058824,0.4786117647058823,0.5319,0.0509764705882353,0.0729941176470588,0.1063705882352941,0.1360470588235294,0.3496764705882352,0.3708411764705883,0.3908117647058823,0.4172411764705882,0.6779294117647058,0.752064705882353,0.7667705882352941,0.7824588235294118
Random Forest,371.9515411764706,0.3588235294117647,0.4231764705882352,0.473835294117647,0.5217,0.0561470588235294,0.0859411764705882,0.111935294117647,0.1416470588235294,0.3647529411764706,0.4118294117647059,0.4669588235294117,0.5157352941176471,0.483970588235294,0.5188882352941177,0.5483,0.5590823529411765
XGBoost,220.8015823529412,0.3562588235294117,0.4171176470588235,0.4805411764705882,0.5236235294117647,0.0607882352941176,0.0818882352941176,0.1106823529411764,0.1450647058823529,0.3943705882352941,0.4426588235294117,0.4864647058823529,0.5345294117647059,0.5214470588235294,0.5479176470588235,0.5930176470588235,0.7230823529411765
deepseek-chat-Rank,2595.485129411765,0.1769,0.2262705882352941,0.2889470588235294,0.3323705882352941,0.1612882352941176,0.2041058823529411,0.2612882352941176,0.2999117647058823,0.1522176470588235,0.1967117647058823,0.2441588235294117,0.2980823529411764,0.0234764705882352,0.0279999999999999,0.0279999999999999,0.0392294117647058
deepseek-chat-Score,2452.3745,0.1772235294117647,0.2269058823529411,0.2892294117647059,0.3325235294117647,0.1610882352941176,0.2036470588235294,0.2599294117647059,0.2996941176470588,0.158435294117647,0.2025411764705882,0.2497,0.3031411764705882,0.1276058823529411,0.2092764705882352,0.2740470588235293,0.2839235294117647
deepseek-reasoner-Rank,986.1244294117648,0.1808529411764705,0.2276647058823529,0.2945705882352941,0.3373941176470588,0.1582294117647058,0.2022999999999999,0.2562647058823529,0.2994235294117647,0.2160529411764706,0.2560588235294117,0.3019941176470588,0.348235294117647,0.1305647058823529,0.1413529411764706,0.1762705882352941,0.2196294117647058
deepseek-reasoner-Score,2429.026011764706,0.1773,0.2269588235294117,0.2892,0.3325176470588235,0.1610941176470588,0.2036235294117647,0.2599176470588235,0.2997058823529411,0.1597235294117647,0.2038823529411764,0.2511058823529412,0.3044647058823529,0.1325058823529412,0.2435882352941176,0.2789470588235294,0.2888235294117647
