Method,final_rank,rp_score
AdaBoost,13,9.824040198684774
Bagging,9,7.037976048731081
Balanced Bagging,2,4.320854008329309
Balanced Random Forest,8,6.839845441593426
Naive Bayes,3,5.5314297763576095
Extra Trees,7,6.534759051134596
Gradient Boosting,6,6.5269977917377515
LightGBM,11,8.545671576478616
Logistic Regression,16,10.730325278022727
Pearson,1,1.7987378264124592
Random Forest,5,6.167608460020115
XGBoost,4,5.712610210596016
deepseek-chat-Rank,12,9.223735986676639
deepseek-chat-Score,15,10.15670234826673
deepseek-reasoner-Rank,14,10.045413471127427
deepseek-reasoner-Score,10,7.935596973612016
