check_id,value
119,2.5199405115246485
77,4.624918653613592
118,6.153416083346543
76,12.188721350520074
117,14.802302791299876
116,20.401835553886166
139,22.536169250297156
220,24.077661232099718
96,36.19919338891073
146,37.2188475979399
147,37.648340842786716
142,37.96583092541749
148,38.34502677196234
141,39.065097901749205
150,39.13469027590926
57,39.1833677324742
163,39.58081065352482
219,39.63712685023544
65,39.685939170881355
140,40.26537428064625
207,40.36852569289545
108,41.809444494468124
188,42.03695270908065
152,42.58525273523078
153,43.45266877291969
138,43.65584690740096
133,43.948023722696796
134,44.178847522932145
131,44.204907791599794
114,44.57663121186866
130,44.72264924865826
154,45.85149133465563
125,46.23131459301554
122,46.34457970078339
127,47.157478383171
121,47.44784642587871
156,47.525823601107184
126,47.63969529427605
1,47.690471112173576
144,50.48058998821204
145,50.643382318748756
124,51.517350501542694
115,51.52353403384841
112,55.5595484144053
113,55.602763492195315
128,56.10895559516365
50,56.17655607026221
111,58.59749901219535
149,60.676805327502024
93,61.60641848607833
120,64.66334983032323
189,64.89122677310608
159,65.03380697577317
164,65.42745735223792
110,66.7223108721911
208,67.55311594815707
161,67.7425724796462
212,68.73174334331804
211,69.14454752172172
151,69.68964965219153
213,69.90147376419986
143,71.75757877760702
165,71.97995532319628
205,72.16035094421528
109,73.6069522081901
81,73.63128915260064
231,74.89414253174873
47,75.17607008010393
229,75.4719276888963
167,76.3339666364837
232,76.70935274644451
53,76.84229354662175
222,77.33815051707045
52,77.61471467941423
204,77.80440137696576
136,77.89205425560743
228,78.16863798947118
223,78.43942995094082
226,78.51726353744354
221,78.58390115818707
201,79.04518845160386
224,79.15773242372852
217,79.19117150792628
168,79.26747891983582
123,79.4149854968135
225,79.48530552056941
202,79.5827470194285
200,79.71698551148111
227,81.36676761473396
199,82.09541520713964
155,83.45791385603344
209,83.51700269493095
171,84.63885320317708
36,85.00393894976713
170,85.55201843145747
174,87.4337319515377
186,87.61054993975937
172,87.7483726198673
183,88.04979201125296
197,88.36285899207294
176,88.91181298846405
206,88.98512193005291
3,89.11317992995995
233,89.88700480920636
215,90.03091197487534
173,90.68099376744095
129,91.00685836473389
214,91.39505111985582
0,91.77779592096647
190,91.9471211997042
169,92.57713611133437
181,92.6290396424526
79,92.86098167941523
230,94.03928364527879
175,94.10299217612656
158,94.12274544870193
132,94.20391370625404
198,95.57920446050113
203,95.94997623491508
157,96.45758806552759
41,97.34151830371046
179,99.9291161875992
80,100.32440210093439
178,100.84491821187055
187,102.03324636932378
137,102.16723276469128
162,102.93752961678868
104,105.13736927436457
177,105.6096242297492
182,107.40282222144054
194,108.36457019156815
91,108.72141806199248
103,109.48587744882641
192,110.27088395139883
48,110.6015463726016
185,111.86774882517985
135,113.73104912441728
184,115.121799123715
195,116.26103188562618
11,116.7388786409647
216,116.91390289773507
180,117.33261648162659
102,118.30695679927096
105,118.41462009026179
107,119.12026631058029
33,121.63683899047047
40,122.29156423244102
32,123.99810012936793
34,124.72909824766612
35,125.1699153245714
39,125.17771415154348
191,125.55925864123799
45,125.74239442367573
31,126.2834422680264
25,126.41220379970363
30,126.74389197868616
42,126.99230019780943
28,127.49057801574824
70,127.88939873484328
51,128.10742022104907
38,128.2024584101094
46,128.58328071984545
27,129.0173966446354
87,129.03665608196468
55,129.39677796588833
43,129.41309365698805
101,129.71829173219368
37,129.78368608689698
59,130.0401425286556
58,131.00295587309535
61,131.4046279352156
44,133.75408278938502
23,134.4549304543662
63,135.3181430099847
22,135.67884117388854
16,136.4637528106692
60,136.4774903813164
7,136.67127565180292
166,137.09899396849374
15,137.40054518622975
54,138.08845985446524
24,138.67181507104468
19,138.87571237135765
66,139.38138894003595
8,139.63269243847955
26,140.4239360759995
2,141.01822311507763
21,141.22876921754457
56,141.31005613853335
98,141.45996936585695
5,141.5938334662802
6,141.77409878040686
67,141.81465242541404
4,142.40078732567758
99,142.44113606610907
62,142.5203190144234
97,143.00563600252795
82,143.30697510038107
17,143.68405920950758
20,144.1319601273565
9,144.37075196872632
95,144.51576778708034
12,145.16467548548013
86,146.71953468836344
18,147.5731804692447
71,150.248620810258
64,151.16282448142587
72,153.60014596249545
92,154.03166914654503
10,154.03206596265682
234,154.4682861447307
14,154.6405202965793
88,155.63673096784555
210,155.64539280500853
100,158.15470197857275
85,158.50444373375515
73,158.70098407354723
74,160.02923975433742
84,160.55810577165116
94,161.72061146512422
83,161.95565943800713
75,162.20499850227708
68,162.94332235273268
78,163.1941605931758
69,166.25484316474441
13,170.42859676228522
49,171.60554456079376
29,172.4312958078952
193,174.13833673781508
90,180.3985529100156
89,190.5983170514311
160,204.7513906297505
196,209.12963324714565
106,225.41090496496213
218,233.8565619642478
