id,severity,languages,id_ori
java.lang.security.audit.tainted-session-from-http-request,WARNING,java,java.lang.security.audit.tainted-session-from-http-request.tainted-session-from-http-request
java.lang.security.audit.tainted-xpath-from-http-request,WARNING,java,java.lang.security.audit.tainted-xpath-from-http-request.tainted-xpath-from-http-request
java.lang.security.audit.unsafe-reflection,WARNING,java,java.lang.security.audit.unsafe-reflection.unsafe-reflection
java.lang.security.audit.unvalidated-redirect,WARNING,java,java.lang.security.audit.unvalidated-redirect.unvalidated-redirect
java.lang.security.audit.url-rewriting,WARNING,java,java.lang.security.audit.url-rewriting.url-rewriting
java.lang.security.audit.weak-ssl-context,WARNING,java,java.lang.security.audit.weak-ssl-context.weak-ssl-context
java.lang.security.audit.xml-decoder,WARNING,java,java.lang.security.audit.xml-decoder.xml-decoder
java.lang.security.audit.xssrequestwrapper-is-insecure,WARNING,java,java.lang.security.audit.xssrequestwrapper-is-insecure.xssrequestwrapper-is-insecure
java.lang.security.audit.crypto.des-is-deprecated,WARNING,"java,kt",java.lang.security.audit.crypto.des-is-deprecated.des-is-deprecated
java.lang.security.audit.crypto.desede-is-deprecated,WARNING,"java,kt",java.lang.security.audit.crypto.desede-is-deprecated.desede-is-deprecated
java.lang.security.audit.crypto.ecb-cipher,WARNING,java,java.lang.security.audit.crypto.ecb-cipher.ecb-cipher
java.lang.security.audit.crypto.gcm-detection,INFO,java,java.lang.security.audit.crypto.gcm-detection.gcm-detection
java.lang.security.audit.crypto.gcm-nonce-reuse,ERROR,java,java.lang.security.audit.crypto.gcm-nonce-reuse.gcm-nonce-reuse
java.lang.security.audit.crypto.no-null-cipher,WARNING,java,java.lang.security.audit.crypto.no-null-cipher.no-null-cipher
java.lang.security.audit.crypto.no-static-initialization-vector,WARNING,java,java.lang.security.audit.crypto.no-static-initialization-vector.no-static-initialization-vector
java.lang.security.audit.crypto.rsa-no-padding,WARNING,"java,kt",java.lang.security.audit.crypto.rsa-no-padding.rsa-no-padding
java.lang.security.audit.crypto.unencrypted-socket,WARNING,java,java.lang.security.audit.crypto.unencrypted-socket.unencrypted-socket
java.lang.security.audit.crypto.use-of-aes-ecb,WARNING,java,java.lang.security.audit.crypto.use-of-aes-ecb.use-of-aes-ecb
java.lang.security.audit.crypto.use-of-blowfish,WARNING,java,java.lang.security.audit.crypto.use-of-blowfish.use-of-blowfish
java.lang.security.audit.crypto.use-of-default-aes,WARNING,java,java.lang.security.audit.crypto.use-of-default-aes.use-of-default-aes
java.lang.security.audit.crypto.use-of-md5-digest-utils,WARNING,java,java.lang.security.audit.crypto.use-of-md5-digest-utils.use-of-md5-digest-utils
java.lang.security.audit.crypto.use-of-md5,WARNING,java,java.lang.security.audit.crypto.use-of-md5.use-of-md5
java.lang.security.audit.crypto.use-of-rc2,WARNING,java,java.lang.security.audit.crypto.use-of-rc2.use-of-rc2
java.lang.security.audit.crypto.use-of-rc4,WARNING,java,java.lang.security.audit.crypto.use-of-rc4.use-of-rc4
java.lang.security.audit.crypto.use-of-sha1,WARNING,java,java.lang.security.audit.crypto.use-of-sha1.use-of-sha1
java.lang.security.audit.crypto.use-of-sha224,WARNING,java,java.lang.security.audit.crypto.use-of-sha224.use-of-sha224
java.lang.security.audit.crypto.weak-random,WARNING,java,java.lang.security.audit.crypto.weak-random.weak-random
java.lang.security.audit.crypto.use-of-weak-rsa-key,WARNING,java,java.lang.security.audit.crypto.weak-rsa.use-of-weak-rsa-key
java.lang.security.audit.crypto.ssl.avoid-implementing-custom-digests,WARNING,java,java.lang.security.audit.crypto.ssl.avoid-implementing-custom-digests.avoid-implementing-custom-digests
java.lang.security.audit.crypto.ssl.defaulthttpclient-is-deprecated,WARNING,java,java.lang.security.audit.crypto.ssl.defaulthttpclient-is-deprecated.defaulthttpclient-is-deprecated
java.lang.security.audit.crypto.ssl.insecure-hostname-verifier,WARNING,java,java.lang.security.audit.crypto.ssl.insecure-hostname-verifier.insecure-hostname-verifier
java.lang.security.audit.crypto.ssl.insecure-trust-manager,WARNING,java,java.lang.security.audit.crypto.ssl.insecure-trust-manager.insecure-trust-manager
java.lang.security.audit.sqli.hibernate-sqli,WARNING,java,java.lang.security.audit.sqli.hibernate-sqli.hibernate-sqli
java.lang.security.audit.sqli.jdbc-sqli,WARNING,java,java.lang.security.audit.sqli.jdbc-sqli.jdbc-sqli
java.lang.security.audit.sqli.jdo-sqli,WARNING,java,java.lang.security.audit.sqli.jdo-sqli.jdo-sqli
java.lang.security.audit.sqli.jpa-sqli,WARNING,java,java.lang.security.audit.sqli.jpa-sqli.jpa-sqli
java.lang.security.audit.sqli.tainted-sql-from-http-request,WARNING,java,java.lang.security.audit.sqli.tainted-sql-from-http-request.tainted-sql-from-http-request
java.lang.security.audit.sqli.turbine-sqli,WARNING,java,java.lang.security.audit.sqli.turbine-sqli.turbine-sqli
java.lang.security.audit.sqli.vertx-sqli,WARNING,java,java.lang.security.audit.sqli.vertx-sqli.vertx-sqli
java.lang.security.audit.xss.no-direct-response-writer,WARNING,java,java.lang.security.audit.xss.no-direct-response-writer.no-direct-response-writer
java.lang.security.audit.xss.jsf.autoescape-disabled,WARNING,regex,java.lang.security.audit.xss.jsf.autoescape-disabled.autoescape-disabled
java.lang.security.audit.xss.jsp.no-scriptlets,WARNING,regex,java.lang.security.audit.xss.jsp.no-scriptlets.no-scriptlets
java.lang.security.audit.xss.jsp.use-escapexml,WARNING,regex,java.lang.security.audit.xss.jsp.use-escapexml.use-escapexml
java.lang.security.audit.xss.jsp.use-jstl-escaping,WARNING,regex,java.lang.security.audit.xss.jsp.use-jstl-escaping.use-jstl-escaping
java.lang.security.audit.xxe.documentbuilderfactory-disallow-doctype-decl-false,ERROR,java,java.lang.security.audit.xxe.documentbuilderfactory-disallow-doctype-decl-false.documentbuilderfactory-disallow-doctype-decl-false
java.lang.security.audit.xxe.documentbuilderfactory-disallow-doctype-decl-missing,ERROR,java,java.lang.security.audit.xxe.documentbuilderfactory-disallow-doctype-decl-missing.documentbuilderfactory-disallow-doctype-decl-missing
java.lang.security.audit.xxe.documentbuilderfactory-external-general-entities-true,ERROR,java,java.lang.security.audit.xxe.documentbuilderfactory-external-general-entities-true.documentbuilderfactory-external-general-entities-true
